"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","category"
"","","","","","image-keyboard-response","1079","410325","0.0-3.0-2.265","","null","img_mproj/Mfrench/13.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1080","410950","0.0-3.0-3.265","","624","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMF"
"","","","","","image-keyboard-response","1081","411153","0.0-3.0-0.266","","null","img_mproj/Mtools/3.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1082","411455","0.0-3.0-1.266","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1083","411658","0.0-3.0-2.266","","null","img_mproj/Mtools/14.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1084","412315","0.0-3.0-3.266","","657","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMT"
"","","","","","image-keyboard-response","1085","412518","0.0-3.0-0.267","","null","img_mproj/tools/1.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1086","412819","0.0-3.0-1.267","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1087","413022","0.0-3.0-2.267","","null","img_mproj/Mtools/1.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1088","413321","0.0-3.0-3.267","","299","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMT"
"","","","","","image-keyboard-response","1089","413523","0.0-3.0-0.268","","null","img_mproj/tools/7.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1090","413824","0.0-3.0-1.268","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1091","414027","0.0-3.0-2.268","","null","img_mproj/tools/9.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1092","415276","0.0-3.0-3.268","","1249","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNT"
"","","","","","image-keyboard-response","1093","415479","0.0-3.0-0.269","","null","img_mproj/Mfalse/2.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1094","415780","0.0-3.0-1.269","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1095","415983","0.0-3.0-2.269","","null","img_mproj/Mfalse/14.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1096","417202","0.0-3.0-3.269","","1219","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMP"
